MJ文字図形名,読み
MJ000557,ス
MJ000557,バン
MJ000557,マン
MJ000558,ショウ
MJ000558,ます
MJ000559,コ
MJ000559,ク
MJ000560,コ
MJ000560,ク
MJ000560,もうかる
MJ000562,カイ
MJ000563,チョウ
MJ000564,カ
MJ000565,カイ
MJ000565,ケ
MJ000566,トウ
MJ000567,レイ
MJ000568,レイ
MJ000568,リョウ
MJ000568,みたま
MJ000568,たま
MJ000568,くし
MJ000569,セン
MJ000569,セキ
MJ000569,シャク
MJ000570,ライ
MJ000571,ジョウ
MJ000571,ニョウ
MJ000571,ニュウ
MJ000571,コウ
MJ000572,ヒツ
MJ000572,ビチ
MJ000572,フツ
MJ000572,ブチ
MJ000573,コウ
MJ000573,タク
MJ000573,セキ
MJ000573,シャク
MJ000573,ジャク
MJ000574,シャ
MJ000574,ジャ
MJ000575,ハン
MJ000575,バン
MJ000576,カ
MJ000577,コウ
MJ000578,ヨク
MJ000578,オキ
MJ000578,キョク
MJ000578,ケキ
MJ000579,ケイ
MJ000579,ケ
MJ000580,シン
MJ000581,キョウ
MJ000582,キ
MJ000583,ブ
MJ000584,ド
MJ000585,コウ
MJ000586,ヨク
MJ000586,ヨキ
MJ000587,ウ
MJ000588,キ
MJ000589,ゲン
MJ000590,ゼン
MJ000590,ネン
MJ000590,デン
MJ000591,コウ
MJ000592,ソウ
MJ000594,キン
MJ000595,ユウ
MJ000595,ウ
MJ000596,タン
MJ000597,ハイ
MJ000597,ヒ
MJ000598,キュウ
MJ000598,ク
MJ000599,セン
MJ000599,ショウ
MJ000599,テン
MJ000600,カ
MJ000601,ホ
MJ000601,フ
MJ000602,トウ
MJ000602,ツ
MJ000603,ジ
MJ000604,デイ
MJ000605,シ
MJ000606,ボウ
MJ000606,ミョウ
MJ000607,ヨウ
MJ000608,キ
MJ000609,コウ
MJ000610,コウ
MJ000610,キョウ
MJ000611,ケイ
MJ000611,キョウ
MJ000612,ホウ
MJ000613,ホウ
MJ000613,ヒョウ
MJ000614,ガ
MJ000614,ダ
MJ000614,ナ
MJ000615,ケツ
MJ000615,ケチ
MJ000618,エ
MJ000618,イ
MJ000619,ジ
MJ000619,ニ
MJ000620,タ
MJ000621,キョウ
MJ000621,ショウ
MJ000622,リョ
MJ000622,ロ
MJ000623,キュウ
MJ000623,グ
MJ000624,ソウ
