MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ001176,61,6
MJ001177,61,6
MJ001178,61,6
MJ001179,61,6
MJ001180,61,6
MJ001181,61,6
MJ001182,61,6
MJ001183,61,6
MJ001184,61,6
MJ001185,61,6
MJ001186,61,7
MJ001187,61,7
MJ001188,61,7
MJ001189,61,7
MJ001190,61,7
MJ001191,61,7
MJ001192,61,7
MJ001193,61,7
MJ001194,61,7
MJ001195,61,7
MJ001196,61,7
MJ001197,61,7
MJ001198,61,6
MJ001199,61,7
MJ001200,61,7
MJ001202,61,8
MJ001203,61,8
MJ001204,61,8
MJ001205,61,8
MJ001206,61,8
MJ001207,61,8
MJ001208,61,8
MJ001209,61,8
MJ001210,61,8
MJ001211,61,8
MJ001212,61,8
MJ001213,61,8
MJ001214,61,8
MJ001215,61,8
MJ001216,61,8
MJ001217,61,8
MJ001218,61,8
MJ001219,61,8
MJ001220,61,8
MJ001221,61,8
MJ001222,61,8
MJ001223,61,8
MJ001224,61,8
MJ001225,61,8
MJ001226,61,8
MJ001228,61,9
MJ001229,61,8
MJ001230,61,9
MJ001231,61,9
MJ001232,61,9
MJ001233,61,9
MJ001234,61,9
MJ001235,61,9
MJ001236,61,9
MJ001237,61,9
MJ001238,61,9
MJ001239,61,9
MJ001240,61,9
MJ001241,61,9
MJ001242,61,9
MJ001243,61,9
MJ001244,61,10
MJ001245,61,10
MJ001246,61,10
MJ001247,61,10
MJ001248,61,10
MJ001249,61,10
MJ001250,61,10
MJ001251,61,10
MJ001252,61,10
MJ001253,61,10
MJ001254,61,10
MJ001255,61,10
MJ001256,61,10
MJ001257,61,10
MJ001258,61,10
MJ001259,61,10
MJ001260,61,10
MJ001261,61,11
MJ001262,61,11
MJ001263,61,11
MJ001264,61,11
MJ001265,61,11
MJ001266,61,11
MJ001267,61,11
MJ001268,61,11
MJ001270,61,11
MJ001271,61,11
MJ001272,61,11
MJ001273,61,11
MJ001274,61,12
MJ001275,61,12
MJ001276,61,12
MJ001277,61,12
MJ001278,61,12
MJ001279,61,12
MJ001280,61,12
MJ001281,61,12
MJ001282,61,12
MJ001283,61,12
MJ001284,61,12
MJ001285,61,12
MJ001286,61,12
MJ001287,61,12
MJ001288,61,13
MJ001289,61,13
MJ001290,61,14
MJ001291,61,13
MJ001292,61,14
MJ001293,61,14
MJ001294,61,14
MJ001295,61,14
MJ001296,61,15
MJ001297,61,15
MJ001298,61,15
MJ001301,61,16
MJ001302,61,16
MJ001303,61,16
MJ001305,61,16
MJ001306,61,16
MJ001307,61,17
MJ001308,61,17
MJ001309,61,17
MJ001310,61,19
MJ001311,61,19
MJ001312,61,24
MJ001313,62,2
MJ001314,62,2
MJ001315,62,3
MJ001316,62,4
MJ001317,62,4
MJ001318,30,8
MJ001318,62,4
MJ001320,62,6
MJ001321,62,6
MJ001322,62,6
MJ001323,62,6
MJ001324,62,7
MJ001325,62,8
MJ001326,62,9
MJ001327,62,10
MJ001328,62,11
MJ001329,62,11
MJ001330,62,13
MJ001331,63,3
MJ001332,63,4
MJ001333,63,4
MJ001334,63,5
MJ001335,63,5
MJ001336,64,2
MJ001337,64,2
MJ001338,18,3
MJ001338,64,2
MJ001339,64,3
MJ001340,64,3
MJ001341,64,3
MJ001342,64,4
MJ001343,64,4
MJ001344,64,4
MJ001345,64,4
MJ001346,64,4
MJ001347,64,4
MJ001348,64,5
MJ001349,64,5
MJ001350,64,5
MJ001351,64,5
MJ001352,64,5
MJ001353,64,5
MJ001354,64,5
MJ001355,64,5
MJ001356,64,5
MJ001357,64,5
MJ001359,64,6
MJ001360,64,6
MJ001361,64,6
MJ001362,64,6
MJ001363,64,6
MJ001364,64,6
MJ001365,64,7
MJ001366,64,6
MJ001367,64,6
MJ001368,64,6
MJ001369,64,6
MJ001370,64,6
MJ001371,64,6
MJ001372,64,6
